type,vaf,replicate,mode,tp,fp,fn,sensitivity,precision,f1
indel,0.0005,a,discovery,0,24,5,0.0,0.0,0.0
indel,0.0005,b,discovery,0,23,5,0.0,0.0,0.0
indel,0.001,a,discovery,2,27,3,0.4,0.068966,0.117647
indel,0.001,b,discovery,1,21,4,0.2,0.045455,0.074074
indel,0.0015,a,discovery,3,25,2,0.6,0.107143,0.181818
indel,0.0015,b,discovery,4,21,1,0.8,0.16,0.266667
indel,0.002,a,discovery,5,31,0,1.0,0.138889,0.243902
indel,0.002,b,discovery,4,19,1,0.8,0.173913,0.285714
indel,0.0025,a,discovery,5,27,0,1.0,0.15625,0.27027
indel,0.0025,b,discovery,5,18,0,1.0,0.217391,0.357143
indel,0.003,a,discovery,5,23,0,1.0,0.178571,0.30303
indel,0.003,b,discovery,5,20,0,1.0,0.2,0.333333
indel,0.004,a,discovery,5,27,0,1.0,0.15625,0.27027
indel,0.004,b,discovery,4,23,1,0.8,0.148148,0.25
indel,0.005,a,discovery,5,18,0,1.0,0.217391,0.357143
indel,0.005,b,discovery,5,20,0,1.0,0.2,0.333333
indel,0.006,a,discovery,5,15,0,1.0,0.25,0.4
indel,0.006,b,discovery,5,19,0,1.0,0.208333,0.344828
indel,0.01,a,discovery,5,28,0,1.0,0.151515,0.263158
indel,0.01,b,discovery,5,21,0,1.0,0.192308,0.322581
indel,0.0125,a,discovery,5,24,0,1.0,0.172414,0.294118
indel,0.0125,b,discovery,5,20,0,1.0,0.2,0.333333
indel,0.015,a,discovery,5,32,0,1.0,0.135135,0.238095
indel,0.015,b,discovery,5,23,0,1.0,0.178571,0.30303
indel,0.0175,a,discovery,4,25,1,0.8,0.137931,0.235294
indel,0.0175,b,discovery,4,25,1,0.8,0.137931,0.235294
indel,0.02,a,discovery,5,21,0,1.0,0.192308,0.322581
indel,0.02,b,discovery,5,23,0,1.0,0.178571,0.30303
indel,0.025,a,discovery,4,21,1,0.8,0.16,0.266667
indel,0.025,b,discovery,4,32,1,0.8,0.111111,0.195122
indel,0.03,a,discovery,5,25,0,1.0,0.166667,0.285714
indel,0.03,b,discovery,5,19,0,1.0,0.208333,0.344828
indel,0.035,a,discovery,4,12,1,0.8,0.25,0.380952
indel,0.035,b,discovery,5,33,0,1.0,0.131579,0.232558
indel,0.04,a,discovery,4,34,1,0.8,0.105263,0.186047
indel,0.04,b,discovery,4,20,1,0.8,0.166667,0.275862
indel,0.05,a,discovery,5,29,0,1.0,0.147059,0.25641
indel,0.05,b,discovery,5,32,0,1.0,0.135135,0.238095
indel,0.1,a,discovery,5,28,0,1.0,0.151515,0.263158
indel,0.1,b,discovery,5,48,0,1.0,0.09434,0.172414
snv,0.0005,a,discovery,3,24,2,0.6,0.111111,0.1875
snv,0.0005,b,discovery,3,24,2,0.6,0.111111,0.1875
snv,0.001,a,discovery,4,12,1,0.8,0.25,0.380952
snv,0.001,b,discovery,3,19,2,0.6,0.136364,0.222222
snv,0.0015,a,discovery,4,18,1,0.8,0.181818,0.296296
snv,0.0015,b,discovery,5,21,0,1.0,0.192308,0.322581
snv,0.002,a,discovery,5,15,0,1.0,0.25,0.4
snv,0.002,b,discovery,5,10,0,1.0,0.333333,0.5
snv,0.0025,a,discovery,5,25,0,1.0,0.166667,0.285714
snv,0.0025,b,discovery,5,14,0,1.0,0.263158,0.416667
snv,0.003,a,discovery,5,15,0,1.0,0.25,0.4
snv,0.003,b,discovery,5,11,0,1.0,0.3125,0.47619
snv,0.004,a,discovery,5,25,0,1.0,0.166667,0.285714
snv,0.004,b,discovery,5,17,0,1.0,0.227273,0.37037
snv,0.005,a,discovery,5,11,0,1.0,0.3125,0.47619
snv,0.005,b,discovery,5,28,0,1.0,0.151515,0.263158
snv,0.006,a,discovery,5,20,0,1.0,0.2,0.333333
snv,0.006,b,discovery,5,21,0,1.0,0.192308,0.322581
snv,0.01,a,discovery,5,18,0,1.0,0.217391,0.357143
snv,0.01,b,discovery,5,19,0,1.0,0.208333,0.344828
snv,0.0125,a,discovery,5,12,0,1.0,0.294118,0.454545
snv,0.0125,b,discovery,5,12,0,1.0,0.294118,0.454545
snv,0.015,a,discovery,5,17,0,1.0,0.227273,0.37037
snv,0.015,b,discovery,5,25,0,1.0,0.166667,0.285714
snv,0.0175,a,discovery,5,21,0,1.0,0.192308,0.322581
snv,0.0175,b,discovery,5,12,0,1.0,0.294118,0.454545
snv,0.02,a,discovery,4,23,1,0.8,0.148148,0.25
snv,0.02,b,discovery,5,14,0,1.0,0.263158,0.416667
snv,0.025,a,discovery,5,19,0,1.0,0.208333,0.344828
snv,0.025,b,discovery,5,20,0,1.0,0.2,0.333333
snv,0.03,a,discovery,5,14,0,1.0,0.263158,0.416667
snv,0.03,b,discovery,5,18,0,1.0,0.217391,0.357143
snv,0.035,a,discovery,5,19,0,1.0,0.208333,0.344828
snv,0.035,b,discovery,5,18,0,1.0,0.217391,0.357143
snv,0.04,a,discovery,5,14,0,1.0,0.263158,0.416667
snv,0.04,b,discovery,5,19,0,1.0,0.208333,0.344828
snv,0.05,a,discovery,5,18,0,1.0,0.217391,0.357143
snv,0.05,b,discovery,5,24,0,1.0,0.172414,0.294118
snv,0.1,a,discovery,5,30,0,1.0,0.142857,0.25
snv,0.1,b,discovery,5,19,0,1.0,0.208333,0.344828
ins,0.0005,a,discovery,0,0,1,0.0,0.0,0.0
ins,0.0005,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.0005,b,discovery,0,1,1,0.0,0.0,0.0
ins,0.0005,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.001,a,discovery,0,1,1,0.0,0.0,0.0
ins,0.001,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.001,b,discovery,0,2,1,0.0,0.0,0.0
ins,0.001,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.0015,a,discovery,0,0,1,0.0,0.0,0.0
ins,0.0015,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.0015,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.0015,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.002,a,discovery,0,1,1,0.0,0.0,0.0
ins,0.002,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.002,b,discovery,0,1,1,0.0,0.0,0.0
ins,0.002,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.0025,a,discovery,0,1,1,0.0,0.0,0.0
ins,0.0025,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.0025,b,discovery,1,3,0,1.0,0.25,0.4
ins,0.0025,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.003,a,discovery,1,1,0,1.0,0.5,0.666667
ins,0.003,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.003,b,discovery,1,1,0,1.0,0.5,0.666667
ins,0.003,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.004,a,discovery,0,1,1,0.0,0.0,0.0
ins,0.004,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.004,b,discovery,0,0,1,0.0,0.0,0.0
ins,0.004,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.005,a,discovery,0,0,1,0.0,0.0,0.0
ins,0.005,a,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.005,b,discovery,0,0,1,0.0,0.0,0.0
ins,0.005,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.006,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.006,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.006,b,discovery,0,0,1,0.0,0.0,0.0
ins,0.006,b,tumour_informed,0,0,1,0.0,0.0,0.0
ins,0.01,a,discovery,1,2,0,1.0,0.333333,0.5
ins,0.01,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.01,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.01,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.0125,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.0125,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.0125,b,discovery,1,2,0,1.0,0.333333,0.5
ins,0.0125,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.015,a,discovery,1,1,0,1.0,0.5,0.666667
ins,0.015,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.015,b,discovery,1,1,0,1.0,0.5,0.666667
ins,0.015,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.0175,a,discovery,1,1,0,1.0,0.5,0.666667
ins,0.0175,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.0175,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.0175,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.02,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.02,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.02,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.02,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.025,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.025,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.025,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.025,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.03,a,discovery,1,1,0,1.0,0.5,0.666667
ins,0.03,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.03,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.03,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.035,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.035,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.035,b,discovery,1,1,0,1.0,0.5,0.666667
ins,0.035,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.04,a,discovery,1,1,0,1.0,0.5,0.666667
ins,0.04,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.04,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.04,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.05,a,discovery,1,0,0,1.0,1.0,1.0
ins,0.05,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.05,b,discovery,1,3,0,1.0,0.25,0.4
ins,0.05,b,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.1,a,discovery,1,2,0,1.0,0.333333,0.5
ins,0.1,a,tumour_informed,1,0,0,1.0,1.0,1.0
ins,0.1,b,discovery,1,0,0,1.0,1.0,1.0
ins,0.1,b,tumour_informed,1,0,0,1.0,1.0,1.0
sv,0.0005,a,discovery,1,2,1,0.5,0.333333,0.4
sv,0.0005,b,discovery,0,3,2,0.0,0.0,0.0
sv,0.001,a,discovery,2,7,0,1.0,0.222222,0.363636
sv,0.001,b,discovery,1,1,1,0.5,0.5,0.5
sv,0.0015,a,discovery,2,5,0,1.0,0.285714,0.444444
sv,0.0015,b,discovery,1,1,1,0.5,0.5,0.5
sv,0.002,a,discovery,2,6,0,1.0,0.25,0.4
sv,0.002,b,discovery,1,4,1,0.5,0.2,0.285714
sv,0.0025,a,discovery,2,1,0,1.0,0.666667,0.8
sv,0.0025,b,discovery,2,3,0,1.0,0.4,0.571429
sv,0.003,a,discovery,2,1,0,1.0,0.666667,0.8
sv,0.003,b,discovery,2,3,0,1.0,0.4,0.571429
sv,0.004,a,discovery,2,2,0,1.0,0.5,0.666667
sv,0.004,b,discovery,2,6,0,1.0,0.25,0.4
sv,0.005,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.005,b,discovery,2,1,0,1.0,0.666667,0.8
sv,0.006,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.006,b,discovery,2,2,0,1.0,0.5,0.666667
sv,0.01,a,discovery,2,0,0,1.0,1.0,1.0
sv,0.01,b,discovery,2,5,0,1.0,0.285714,0.444444
sv,0.0125,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.0125,b,discovery,2,3,0,1.0,0.4,0.571429
sv,0.015,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.015,b,discovery,2,3,0,1.0,0.4,0.571429
sv,0.0175,a,discovery,2,2,0,1.0,0.5,0.666667
sv,0.0175,b,discovery,2,3,0,1.0,0.4,0.571429
sv,0.02,a,discovery,2,4,0,1.0,0.333333,0.5
sv,0.02,b,discovery,2,2,0,1.0,0.5,0.666667
sv,0.025,a,discovery,2,4,0,1.0,0.333333,0.5
sv,0.025,b,discovery,2,6,0,1.0,0.25,0.4
sv,0.03,a,discovery,2,1,0,1.0,0.666667,0.8
sv,0.03,b,discovery,2,4,0,1.0,0.333333,0.5
sv,0.035,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.035,b,discovery,2,2,0,1.0,0.5,0.666667
sv,0.04,a,discovery,2,3,0,1.0,0.4,0.571429
sv,0.04,b,discovery,2,2,0,1.0,0.5,0.666667
sv,0.05,a,discovery,2,4,0,1.0,0.333333,0.5
sv,0.05,b,discovery,2,0,0,1.0,1.0,1.0
sv,0.1,a,discovery,2,12,0,1.0,0.142857,0.25
sv,0.1,b,discovery,2,11,0,1.0,0.153846,0.266667
novins,0.0005,a,discovery,0,0,1,0.0,0.0,0.0
novins,0.0005,a,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.0005,b,discovery,0,0,1,0.0,0.0,0.0
novins,0.0005,b,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.001,a,discovery,0,0,1,0.0,0.0,0.0
novins,0.001,a,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.001,b,discovery,0,1,1,0.0,0.0,0.0
novins,0.001,b,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.0015,a,discovery,0,2,1,0.0,0.0,0.0
novins,0.0015,a,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.0015,b,discovery,1,3,0,1.0,0.25,0.4
novins,0.0015,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.002,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.002,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.002,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.002,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0025,a,discovery,1,2,0,1.0,0.333333,0.5
novins,0.0025,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0025,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.0025,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.003,a,discovery,1,2,0,1.0,0.333333,0.5
novins,0.003,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.003,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.003,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.004,a,discovery,0,0,1,0.0,0.0,0.0
novins,0.004,a,tumour_informed,0,0,1,0.0,0.0,0.0
novins,0.004,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.004,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.005,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.005,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.005,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.005,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.006,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.006,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.006,b,discovery,1,3,0,1.0,0.25,0.4
novins,0.006,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.01,a,discovery,1,2,0,1.0,0.333333,0.5
novins,0.01,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.01,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.01,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0125,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.0125,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0125,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.0125,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.015,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.015,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.015,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.015,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0175,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.0175,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.0175,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.0175,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.02,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.02,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.02,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.02,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.025,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.025,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.025,b,discovery,1,1,0,1.0,0.5,0.666667
novins,0.025,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.03,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.03,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.03,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.03,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.035,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.035,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.035,b,discovery,1,3,0,1.0,0.25,0.4
novins,0.035,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.04,a,discovery,1,1,0,1.0,0.5,0.666667
novins,0.04,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.04,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.04,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.05,a,discovery,1,0,0,1.0,1.0,1.0
novins,0.05,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.05,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.05,b,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.1,a,discovery,1,21,0,1.0,0.045455,0.086957
novins,0.1,a,tumour_informed,1,0,0,1.0,1.0,1.0
novins,0.1,b,discovery,1,0,0,1.0,1.0,1.0
novins,0.1,b,tumour_informed,1,0,0,1.0,1.0,1.0
