sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_15ng_VAF_0p001pc	15ng	0.001	349624	34913	9.986	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36586	5262	386	17	0	2523.2	2024.1	2024.1	0.0	2035.0	109.7	109.7	99.8	0.0	109.7	2523.2	42.8	0
Sample_15ng_VAF_0p01pc	15ng	0.01	401271	57430	14.312	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	1	0	374	0.0027	1.0	0.0053	1	0	204	0.0049	0	1	170	0.0	36933	6200	430	17	0	2622.4	2142.3	2142.3	0.0	2153.3	109.8	109.7	99.7	0.0	109.7	2622.4	44.2	0
Sample_15ng_VAF_0p1pc	15ng	0.1	328319	40371	12.296	18	18	0	357	0	0.048	1.0	0.0	0.0	0.0	0.952	0.0916	18	0	187	0.0878	1.0	0.0	0.0	0	18	170	0.0	0.0	0.0	1.0	18	0	357	0.048	1.0	0.0916	18	0	187	0.0878	0	18	170	0.0	35175	4874	365	17	0	2503.2	2003.9	2003.9	0.0	2014.8	109.8	109.7	99.7	0.0	109.7	2503.2	41.0	0
Sample_15ng_VAF_0p25pc	15ng	0.25	413534	57581	13.924	93	93	0	282	0	0.248	1.0	0.0	0.0	0.0	0.752	0.3974	83	10	122	0.4049	0.8925	0.0	1.0	10	83	160	0.0588	0.1075	0.0	1.0	93	0	282	0.248	1.0	0.3974	83	10	122	0.4049	10	83	160	0.0588	37621	6371	447	17	0	2636.4	2156.3	2156.3	0.0	2167.3	109.8	109.7	109.7	0.0	109.7	2636.4	45.1	0
Sample_15ng_VAF_0p5pc	15ng	0.5	329077	36887	11.209	130	130	0	245	0	0.3467	1.0	0.0	0.0	0.0	0.6533	0.5149	115	15	90	0.561	0.8846	0.0	1.0	15	115	155	0.0882	0.1154	0.0	1.0	130	0	245	0.3467	1.0	0.5149	115	15	90	0.561	15	115	155	0.0882	34380	4981	410	18	0	2493.6	2002.8	2002.8	0.0	2013.8	109.8	109.8	99.7	0.0	99.7	2493.6	40.4	0
Sample_15ng_VAF_0pc	15ng	0.0	331925	37110	11.18	1	1	0	374	0	0.0027	1.0	0.0	0.0	0.0	0.9973	0.0053	1	0	204	0.0049	1.0	0.0	0.0	0	1	170	0.0	0.0	0.0	1.0	1	0	374	0.0027	1.0	0.0053	1	0	204	0.0049	0	1	170	0.0	34174	5038	381	16	0	2502.6	2004.7	2004.7	0.0	2015.7	109.8	109.7	99.8	0.0	99.8	2502.6	40.2	0
Sample_15ng_VAF_1pc	15ng	1.0	352159	40715	11.562	173	173	0	202	0	0.4613	1.0	0.0	0.0	0.0	0.5387	0.6314	156	17	49	0.761	0.9017	0.0	1.0	17	156	153	0.1	0.0983	0.0	1.0	173	0	202	0.4613	1.0	0.6314	156	17	49	0.761	17	156	153	0.1	36162	5367	411	19	0	2492.5	2037.8	2037.8	0.0	2048.7	109.8	109.7	109.7	0.0	99.8	2492.5	42.5	0
Sample_15ng_VAF_2pc	15ng	2.0	430786	66501	15.437	191	191	0	184	0	0.5093	1.0	0.0	0.0	0.0	0.4907	0.6749	168	23	37	0.8195	0.8796	0.0	1.0	23	168	147	0.1353	0.1204	0.0	1.0	191	0	184	0.5093	1.0	0.6749	168	23	37	0.8195	23	168	147	0.1353	38979	6430	512	19	0	2676.2	2198.7	2198.7	0.0	2209.8	109.8	109.7	109.8	0.0	99.8	2676.2	46.6	0
Sample_30ng_VAF_0p001pc	30ng	0.001	372371	20615	5.536	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	2	0	373	0.0053	1.0	0.0106	2	0	203	0.0098	0	2	170	0.0	37334	5866	413	17	0	2497.3	2021.5	2021.5	0.0	2032.4	109.7	109.7	109.7	0.0	99.8	2497.3	44.2	0
Sample_30ng_VAF_0p01pc	30ng	0.01	523686	47035	8.982	2	2	0	373	0	0.0053	1.0	0.0	0.0	0.0	0.9947	0.0106	2	0	203	0.0098	1.0	0.0	0.0	0	2	170	0.0	0.0	0.0	1.0	2	0	373	0.0053	1.0	0.0106	2	0	203	0.0098	0	2	170	0.0	43472	8776	646	18	0	2770.3	2283.3	2283.3	0.0	2294.2	109.8	109.7	99.8	0.0	109.7	2770.3	53.6	0
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	29	29	0	346	0	0.0773	1.0	0.0	0.0	0.0	0.9227	0.1436	28	1	177	0.1366	0.9655	0.0	1.0	1	28	169	0.0059	0.0345	0.0	1.0	29	0	346	0.0773	1.0	0.1436	28	1	177	0.1366	1	28	169	0.0059	37989	6602	428	17	0	2590.6	2085.6	2085.6	0.0	2096.5	109.8	109.7	99.8	0.0	99.8	2590.6	45.6	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	87	87	0	288	0	0.232	1.0	0.0	0.0	0.0	0.768	0.3766	78	9	127	0.3805	0.8966	0.0	1.0	9	78	161	0.0529	0.1034	0.0	1.0	87	0	288	0.232	1.0	0.3766	78	9	127	0.3805	9	78	161	0.0529	37612	5649	402	18	0	2482.1	2007.6	2007.6	0.0	2018.6	109.7	109.7	99.8	0.0	99.8	2482.1	44.3	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	153	153	0	222	0	0.408	1.0	0.0	0.0	0.0	0.592	0.5795	134	19	71	0.6537	0.8758	0.0	1.0	19	134	151	0.1118	0.1242	0.0	1.0	153	0	222	0.408	1.0	0.5795	134	19	71	0.6537	19	134	151	0.1118	37593	6553	491	19	0	2631.6	2117.2	2117.2	0.0	2128.2	109.8	109.7	99.8	0.0	109.7	2631.6	45.3	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37747	6148	405	17	0	2531.5	2062.4	2062.4	0.0	2073.5	109.8	109.7	99.8	0.0	99.8	2531.5	44.9	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	179	179	0	196	0	0.4773	1.0	0.0	0.0	0.0	0.5227	0.6462	160	19	45	0.7805	0.8939	0.0	1.0	19	160	151	0.1118	0.1061	0.0	1.0	179	0	196	0.4773	1.0	0.6462	160	19	45	0.7805	19	160	151	0.1118	38182	6303	433	19	0	2580.9	2070.2	2070.2	0.0	2081.2	109.7	109.7	99.8	0.0	99.8	2580.9	45.5	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	185	185	0	190	0	0.4933	1.0	0.0	0.0	0.0	0.5067	0.6607	163	22	42	0.7951	0.8811	0.0	1.0	22	163	148	0.1294	0.1189	0.0	1.0	185	0	190	0.4933	1.0	0.6607	163	22	42	0.7951	22	163	148	0.1294	38005	6538	447	19	0	2561.9	2075.1	2075.1	0.0	2085.8	109.8	109.7	99.7	0.0	109.7	2561.9	45.6	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40594	6076	241	16	0	2949.1	2403.7	2403.7	0.0	2414.6	109.8	109.7	109.7	0.0	99.8	2949.1	47.6	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42947	6415	243	16	0	2982.3	2480.3	2480.3	0.0	2491.3	109.8	109.7	99.7	0.0	99.8	2982.3	50.3	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	3	3	0	372	0	0.008	1.0	0.0	0.0	0.0	0.992	0.0159	3	0	202	0.0146	1.0	0.0	0.0	0	3	170	0.0	0.0	0.0	1.0	3	0	372	0.008	1.0	0.0159	3	0	202	0.0146	0	3	170	0.0	41603	5997	249	16	0	2969.8	2421.3	2421.3	0.0	2432.4	109.7	109.7	99.8	0.0	99.8	2969.8	48.5	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	22	22	0	353	0	0.0587	1.0	0.0	0.0	0.0	0.9413	0.1108	19	3	186	0.0927	0.8636	0.0	1.0	3	19	167	0.0176	0.1364	0.0	1.0	22	0	353	0.0587	1.0	0.1108	19	3	186	0.0927	3	19	167	0.0176	41803	6101	236	16	0	2954.6	2409.3	2409.3	0.0	2420.2	109.8	109.7	99.8	0.0	109.7	2954.6	48.8	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	58	58	0	317	0	0.1547	1.0	0.0	0.0	0.0	0.8453	0.2679	51	7	154	0.2488	0.8793	0.0	1.0	7	51	163	0.0412	0.1207	0.0	1.0	58	0	317	0.1547	1.0	0.2679	51	7	154	0.2488	7	51	163	0.0412	40855	6090	245	17	0	2921.1	2423.6	2423.6	0.0	2434.6	109.7	109.7	99.7	0.0	109.7	2921.1	47.9	0
Sample_5ng_VAF_0pc	5ng	0.0	645861	22273	3.449	0	0	0	375	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0	0	205	0.0	0.0	0.0	0.0	0	0	170	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42393	5708	209	16	0	2954.5	2406.2	2406.2	0.0	2417.1	109.8	109.7	99.7	0.0	109.7	2954.5	49.0	0
Sample_5ng_VAF_1pc	5ng	1.0	609701	33081	5.426	121	121	0	254	0	0.3227	1.0	0.0	0.0	0.0	0.6773	0.4879	110	11	95	0.5366	0.9091	0.0	1.0	11	110	159	0.0647	0.0909	0.0	1.0	121	0	254	0.3227	1.0	0.4879	110	11	95	0.5366	11	110	159	0.0647	40025	5775	263	17	0	2870.5	2375.9	2375.9	0.0	2387.2	109.8	109.7	99.8	0.0	99.8	2870.5	46.7	0
Sample_5ng_VAF_2pc	5ng	2.0	625985	29643	4.735	166	166	0	209	0	0.4427	1.0	0.0	0.0	0.0	0.5573	0.6137	147	19	58	0.7171	0.8855	0.0	1.0	19	147	151	0.1118	0.1145	0.0	1.0	166	0	209	0.4427	1.0	0.6137	147	19	58	0.7171	19	147	151	0.1118	40939	5743	238	18	0	2890.3	2393.9	2393.9	0.0	2404.8	109.7	109.7	99.8	0.0	99.7	2890.3	47.6	0
